entity_id,timestamp,latitude,longitude
E-e49f,2025-05-06T23:04:54.498Z,37.814963,-122.470846
E-7c40,2025-05-06T23:25:16.730Z,37.754996,-122.516699
E-32d1,2025-05-07T09:49:30.383Z,37.824389,-122.483277
E-cc82,2025-05-06T23:42:00.866Z,37.748120,-122.488552
E-9084,2025-05-07T08:47:25.052Z,37.702275,-122.460122
E-fcd5,2025-05-07T09:05:18.633Z,37.702202,-122.521463
E-def9,2025-05-07T20:49:17.791Z,37.707715,-122.359430
E-0b84,2025-05-07T16:38:08.897Z,37.782302,-122.388743
E-40f3,2025-05-07T18:04:56.335Z,37.827347,-122.458018
E-1a6b,2025-05-07T15:11:39.715Z,37.801486,-122.395551
E-868d,2025-05-06T21:47:02.544Z,37.825309,-122.463705
E-c8f4,2025-05-07T17:07:45.422Z,37.709498,-122.462320
E-e92b,2025-05-06T23:02:28.926Z,37.829307,-122.484365
E-fb82,2025-05-07T17:02:35.706Z,37.823880,-122.384174
E-1930,2025-05-07T12:25:47.834Z,37.726507,-122.492841
E-e015,2025-05-07T14:29:46.296Z,37.736668,-122.401430
E-acd3,2025-05-06T22:19:50.625Z,37.772946,-122.482684
E-cfd8,2025-05-07T09:59:36.575Z,37.763719,-122.489667
E-209e,2025-05-07T14:55:06.554Z,37.812555,-122.352724
E-c28b,2025-05-07T01:59:49.646Z,37.739329,-122.398529
E-8d70,2025-05-07T06:43:01.630Z,37.706116,-122.482895
E-2b50,2025-05-07T09:36:07.625Z,37.798308,-122.454685
E-c642,2025-05-07T18:18:45.833Z,37.782082,-122.518095
E-44d2,2025-05-07T17:58:05.848Z,37.789864,-122.391722
E-88d2,2025-05-06T22:59:38.969Z,37.715471,-122.374598
E-87a1,2025-05-07T02:35:45.195Z,37.751453,-122.412472
E-28cc,2025-05-07T12:21:25.641Z,37.771252,-122.472132
E-4214,2025-05-07T18:22:29.884Z,37.809651,-122.375443
E-6bc0,2025-05-07T00:42:04.525Z,37.706095,-122.506579
E-1542,2025-05-06T23:46:41.656Z,37.755983,-122.426327
E-9b1a,2025-05-07T02:45:32.470Z,37.725212,-122.417602
E-0264,2025-05-07T03:11:14.227Z,37.729382,-122.421681
E-ca7d,2025-05-07T08:43:23.226Z,37.710619,-122.510339
E-d530,2025-05-07T02:57:09.129Z,37.715814,-122.436039
E-2371,2025-05-07T12:04:13.612Z,37.718976,-122.367815
E-0b0d,2025-05-06T23:29:54.472Z,37.745991,-122.493862
E-bba0,2025-05-07T18:00:57.457Z,37.722103,-122.456832
E-1ed8,2025-05-07T04:46:37.738Z,37.790524,-122.461097
E-cdcc,2025-05-07T16:59:37.644Z,37.782745,-122.367994
E-fa8e,2025-05-07T17:37:03.423Z,37.732608,-122.428281
E-0538,2025-05-06T22:17:02.709Z,37.764530,-122.454725
E-ecef,2025-05-07T20:27:40.190Z,37.796209,-122.503825
E-2058,2025-05-07T09:39:11.217Z,37.717106,-122.412136
E-697e,2025-05-07T03:33:05.501Z,37.815052,-122.421799
E-548d,2025-05-07T04:45:03.376Z,37.728991,-122.380847
E-8624,2025-05-07T18:57:36.048Z,37.738348,-122.459999
E-834a,2025-05-07T17:34:41.625Z,37.756857,-122.521167
E-9fc6,2025-05-07T12:13:56.868Z,37.724403,-122.397953
E-22a6,2025-05-07T03:19:05.967Z,37.788244,-122.360627
E-faa2,2025-05-07T12:21:32.583Z,37.753519,-122.464121
E-f226,2025-05-07T12:58:28.776Z,37.827279,-122.377872
E-45ca,2025-05-06T21:30:59.161Z,37.801806,-122.483130
E-12f8,2025-05-07T02:44:52.395Z,37.803438,-122.370864
E-523f,2025-05-07T08:23:43.467Z,37.734892,-122.501107
E-4d23,2025-05-06T21:53:38.664Z,37.718618,-122.385348
E-25c4,2025-05-07T09:07:43.045Z,37.726703,-122.424130
E-bfd2,2025-05-07T07:12:31.166Z,37.814429,-122.497567
E-0989,2025-05-07T15:22:03.125Z,37.711301,-122.506325
